match_id,comp,season,home_team,away_team,scoring_team,team_scored_on,minute,cluster,KO_short_possessions,KO_medium_possessions,KO_long_possessions,DS_short_possessions,DS_medium_possessions,DS_long_possessions,last_event,second_last_event,shot_data,GD_diff,xGD_diff,xGdf_diff,GF_diff,GA_diff,xG_diff,xGA_diff,Possession_Percentage_diff,x_fav,fav
3890280,1. Bundesliga,2015/2016,FC Köln,Hamburger SV,Hamburger SV,FC Köln,46,11,8,3,0,3,0,0,"{'type': 'Pass', 'play_source': 'Regular Play', 'pass_type': 'Cross', 'pass_detail': 'Ground Pass', 'length': 'Medium', 'direction': 'Towards', 'third': 'T1', 'team': 'YES'}","{'type': 'Carry', 'play_source': 'Regular Play', 'length': 'Medium', 'direction': 'Towards', 'third': 'T1', 'team': 'YES'}","{'type': 'Shot', 'event': {'type': 'Shot', 'play_source': 'Regular Play', 'shot_detail': 'Inside', 'result': 'Goal', 'third': 'T1', 'team': 'YES'}}",0.10669265756985055,-0.28407077585997403,0.1864907419614685,0.08356075373619243,-0.02313190383365815,-0.10292998822527655,0.18114078763469754,0.49177603166203454,neutral,neutral
3890282,1. Bundesliga,2015/2016,FSV Mainz 05,Hannover 96,FSV Mainz 05,Hannover 96,46,3,8,3,0,4,0,0,"{'type': 'Carry', 'play_source': 'From Throw In', 'length': 'Short', 'direction': 'Sideways', 'third': 'T1', 'team': 'NO'}","{'type': 'Dribble', 'event': {'type': 'Dribble', 'play_source': 'From Throw In', 'outcome': 'Complete', 'third': 'T1', 'team': 'NO'}}","{'type': 'Shot', 'event': {'type': 'Shot', 'play_source': 'From Throw In', 'shot_detail': 'Inside', 'result': 'Goal', 'third': 'T1', 'team': 'NO'}}",1.1267361111111112,0.5304349204727434,0.262887393476736,0.47048611111111116,-0.65625,0.20759871763437476,-0.3228362028383682,-0.08503053348632506,low fav,med fav
3890329,1. Bundesliga,2015/2016,Bayern Munich,Borussia Dortmund,Bayern Munich,Borussia Dortmund,45,18,4,2,0,0,0,0,"{'type': 'Carry', 'play_source': 'From Kick Off', 'length': 'Short', 'direction': 'Towards', 'third': 'T1', 'team': 'YES'}","{'type': 'Dribble', 'event': {'type': 'Dribble', 'play_source': 'From Kick Off', 'outcome': 'Complete', 'third': 'T1', 'team': 'YES'}}","{'type': 'Shot', 'event': {'type': 'Shot', 'play_source': 'From Kick Off', 'shot_detail': 'Inside', 'result': 'Goal', 'third': 'T1', 'team': 'YES'}}",0.4678649237472765,0.020485731925472095,0.2026970971546479,-0.15795206971677533,-0.6258169934640523,-0.3606491668714238,-0.38113489879689544,9.932630766748744,neutral,neutral
3890335,1. Bundesliga,2015/2016,Wolfsburg,Hoffenheim,Wolfsburg,Hoffenheim,0,8,7,3,0,1,0,0,"{'type': 'Pass', 'play_source': 'From Kick Off', 'pass_type': 'None', 'pass_detail': 'Ground Pass', 'length': 'Medium', 'direction': 'Towards', 'third': 'T1', 'team': 'YES'}","{'type': 'Pass', 'play_source': 'From Kick Off', 'pass_type': 'None', 'pass_detail': 'High Pass', 'length': 'Long', 'direction': 'Towards', 'third': 'T2', 'team': 'YES'}","{'type': 'Shot', 'event': {'type': 'Shot', 'play_source': 'From Kick Off', 'shot_detail': 'Inside', 'result': 'Goal', 'third': 'T1', 'team': 'YES'}}",0.09740259740259741,0.5973019430633117,0.06736957358490266,0.3133116883116882,0.21590909090909083,0.2459421147267855,-0.3513598283365258,10.606126398959631,low fav,neutral
3890360,1. Bundesliga,2015/2016,Darmstadt 98,Hamburger SV,Darmstadt 98,Hamburger SV,46,11,7,3,0,4,0,0,"{'type': 'Pass', 'play_source': 'Regular Play', 'pass_type': 'Cross', 'pass_detail': 'High Pass', 'length': 'Medium', 'direction': 'Towards', 'third': 'T1', 'team': 'YES'}","{'type': 'Carry', 'play_source': 'Regular Play', 'length': 'Short', 'direction': 'Away', 'third': 'T1', 'team': 'YES'}","{'type': 'Shot', 'event': {'type': 'Shot', 'play_source': 'Regular Play', 'shot_detail': 'Inside', 'result': 'Goal', 'third': 'T1', 'team': 'YES'}}",-0.31502767134951043,-0.18060093134031502,-0.06139490135947204,-0.12941677309493405,0.18561089825457633,-0.06802187173546193,0.11257905960485326,-13.42620816013239,neutral,neutral
3890365,1. Bundesliga,2015/2016,Borussia Dortmund,Schalke 04,Borussia Dortmund,Schalke 04,46,8,5,3,0,2,0,0,"{'type': 'Pass', 'play_source': 'From Counter', 'pass_type': 'Through-Ball', 'pass_detail': 'Ground Pass', 'length': 'Medium', 'direction': 'Towards', 'third': 'T1', 'team': 'YES'}","{'type': 'Carry', 'play_source': 'From Counter', 'length': 'Short', 'direction': 'Towards', 'third': 'T1', 'team': 'YES'}","{'type': 'Shot', 'event': {'type': 'Shot', 'play_source': 'From Counter', 'shot_detail': 'Inside', 'result': 'Goal', 'third': 'T1', 'team': 'YES'}}",1.0764563106796117,1.2674376933503277,-0.12873641346791276,0.9478155339805825,-0.12864077669902918,1.0765519474484948,-0.19088574590183316,8.908763844389668,med fav,med fav
3890377,1. Bundesliga,2015/2016,Hoffenheim,Borussia Mönchengladbach,Hoffenheim,Borussia Mönchengladbach,46,11,9,1,0,2,0,0,"{'type': 'Carry', 'play_source': 'From Goal Kick', 'length': 'Short', 'direction': 'Sideways', 'third': 'T1', 'team': 'YES'}","{'type': 'Dribble', 'event': {'type': 'Dribble', 'play_source': 'From Goal Kick', 'outcome': 'Complete', 'third': 'T1', 'team': 'YES'}}","{'type': 'Shot', 'event': {'type': 'Shot', 'play_source': 'From Goal Kick', 'shot_detail': 'Inside', 'result': 'Goal', 'third': 'T1', 'team': 'YES'}}",-1.2662337662337662,-0.7361958120579728,-0.6528831295135461,-1.0975829725829729,0.16865079365079372,-0.44469984306942645,0.2914959689885457,-5.823719132863097,low unfav,med unfav
3890408,1. Bundesliga,2015/2016,VfB Stuttgart,Wolfsburg,VfB Stuttgart,Wolfsburg,46,8,3,3,0,3,2,0,"{'type': 'Pass', 'play_source': 'From Free Kick', 'pass_type': 'Through-Ball', 'pass_detail': 'Ground Pass', 'length': 'Medium', 'direction': 'Towards', 'third': 'T1', 'team': 'NO'}","{'type': 'Carry', 'play_source': 'From Free Kick', 'length': 'Short', 'direction': 'UnknownDirection', 'third': 'T1', 'team': 'NO'}","{'type': 'Shot', 'event': {'type': 'Shot', 'play_source': 'From Free Kick', 'shot_detail': 'Inside', 'result': 'Goal', 'third': 'T1', 'team': 'NO'}}",-0.481018981018981,-0.5000720267286879,-0.2453644223027972,-0.17565767565767576,0.30536130536130535,0.06970674664512178,0.5697787733738098,-8.53561948426784,low unfav,neutral
3890418,1. Bundesliga,2015/2016,Hannover 96,Darmstadt 98,Darmstadt 98,Hannover 96,46,3,8,2,0,3,1,0,"{'type': 'Shot', 'event': {'type': 'Shot', 'play_source': 'Regular Play', 'shot_detail': 'Inside', 'result': 'Post', 'third': 'T1', 'team': 'YES'}}","{'type': 'Pass', 'play_source': 'Regular Play', 'pass_type': 'Cross', 'pass_detail': 'High Pass', 'length': 'Medium', 'direction': 'Towards', 'third': 'T1', 'team': 'YES'}","{'type': 'Shot', 'event': {'type': 'Shot', 'play_source': 'Regular Play', 'shot_detail': 'Inside', 'result': 'Goal', 'third': 'T1', 'team': 'YES'}}",0.6211685823754789,0.32963496482538324,0.2042461627734675,0.1987547892720306,-0.4224137931034484,-0.005491373501436914,-0.33512633832681993,-12.989595963507739,neutral,low fav
3890438,1. Bundesliga,2015/2016,Hamburger SV,FC Köln,Hamburger SV,FC Köln,46,3,3,2,0,9,2,0,"{'type': 'Carry', 'play_source': 'From Throw In', 'length': 'Short', 'direction': 'Towards', 'third': 'T1', 'team': 'NO'}","{'type': 'Pass', 'play_source': 'From Throw In', 'pass_type': 'None', 'pass_detail': 'Ground Pass', 'length': 'Short', 'direction': 'Towards', 'third': 'T1', 'team': 'NO'}","{'type': 'Shot', 'event': {'type': 'Shot', 'play_source': 'From Throw In', 'shot_detail': 'Outside', 'result': 'Goal', 'third': 'T1', 'team': 'NO'}}",0.038519123451749,-0.2377889362578331,0.12648192449311282,0.053899550837076315,0.0153804273853273,-0.07258237365603604,0.16520656260179645,0.5703636794082456,neutral,neutral
